Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
107.77541,0.042477006,-0.039583421,7430,107.77541,0.048707503,-0.046866903,7430
108.10908,0.038285988,-0.035210792,7440,108.10908,0.045938788,-0.043254091,7440
108.44275,0.036683622,-0.034723237,7450,108.44275,0.042378732,-0.040901563,7450
108.77642,0.037331833,-0.031486374,7460,108.77642,0.042329884,-0.039113719,7460
109.11009,0.036967215,-0.028480018,7470,109.11009,0.040600658,-0.036270755,7470
109.44376,0.033826745,-0.026851109,7480,109.44376,0.040180564,-0.036006975,7480
109.77743,0.033826745,-0.026851109,7490,109.77743,0.042032887,-0.035295745,7490
110.1111,0.036576053,-0.029101685,7500,110.1111,0.042652282,-0.035801812,7500
110.44477,0.038306943,-0.028281643,7510,110.44477,0.043750389,-0.033679847,7510
110.77844,0.040659501,-0.027852762,7520,110.77844,0.045010672,-0.034471188,7520
111.11211,0.040659501,-0.027852762,7530,111.11211,0.046071655,-0.035020241,7530
111.44578,0.040659501,-0.027852762,7540,111.44578,0.045194341,-0.0371637,7540
111.77945,0.040306059,-0.031448655,7550,111.77945,0.045614436,-0.03742748,7550
112.11312,0.035633074,-0.031979518,7560,112.11312,0.045571449,-0.037869067,7560
112.44679,0.031383382,-0.031561813,7570,112.44679,0.042421718,-0.040459975,7570
112.78046,0.027401915,-0.035131163,7580,112.78046,0.039692082,-0.043314663,7580
113.11413,0.025606762,-0.036605004,7590,113.11413,0.037667813,-0.045792243,7590
113.4478,0.024267033,-0.036803379,7600,113.4478,0.037204732,-0.045970051,7600
113.78147,0.024267033,-0.036803379,7610,113.78147,0.037204732,-0.045970051,7610
114.11514,0.022337768,-0.036283693,7620,114.11514,0.037204732,-0.045970051,7620
114.44881,0.022337768,-0.036283693,7630,114.44881,0.03850214,-0.044090372,7630
114.78248,0.022337768,-0.036283693,7640,114.78248,0.038011704,-0.042259542,7640
115.11615,0.021517726,-0.034552803,7650,115.11615,0.028027135,-0.039504505,7650
115.44982,0.017578169,-0.024263854,7660,115.44982,0.035936633,-0.03381076,7660
115.78349,0.019711397,-0.029424394,7670,115.78349,0.040799959,-0.036513042,7670
